Team,Driver,Country
Mercedes,Hamilton,United Kingdom
Mercedes,Russell,United Kingdom
Red Bull,Verstappen ,The Netherlands
Red Bull,Perez ,Mexico
Ferrari,Leclerc ,Monaco
Ferrari,Sainz ,Spain
McLaren,Norris ,United Kingdom
McLaren,Ricciardo ,Australia
Alpine,Alonso ,Spain
Alpine,Ocon ,France
AlphaTauri ,Gasly ,France
AlphaTauri ,Tsunoda ,Japan
Aston Martin,Vettel ,Germany
Aston Martin,Lance Stroll ,Canada
Alfa Romeo,Bottas ,Finland
Alfa Romeo,Zhou ,China
Williams,Latifi ,Canada
Williams,Albon ,Thailand
Haas,Schumacher ,Germany
Haas,Magnussen ,Denmark
